book_title,book_author,book_translator,book_pub_date,book_isbn
엑셀 매크로&VBA 바이블: 회사에서 필요한 코드는 모두 있다!,최준선 ,,2012-06-28,9788979149357
엑셀 함수&수식 바이블: 회사에서 필요한 함수&수식은 모두 있다!,최준선 ,,2015-04-28,9788968481826
뽀얀의 일러스트 하우스 by 포토샵,김은혜 ,,2007-12-11,9788979145205
뽀얀의 포토샵 일러스트 하우스 II 미술사 거장을 만나다,뽀얀(김은혜) ,,2010-04-23,9788979147360
좋은 사진을 만드는 김주원의 미러리스 & DSLR 사진강의,김주원 ,,2015-11-12,9788968482267
"실전 보고서 작성 기술 with 파워포인트, 워드, 한글",홍장표 ,,2020-12-28,9791162243763
모던 자바스크립트 핵심 가이드,알베르토 몬탈레시 ,"임지순 , 권영재 ",2021-05-14,9791162244289
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014 & 윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",,2016-03-28,9788968482731
회사에서 바로 통하는 엑셀 함수 실무 강의,"김경자 , 송선영 ",,2017-05-31,9788968488054
회사에서 바로 통하는 파워포인트 2016 FOR STARTERS,이화진 ,,2017-04-14,9788968483462
회사에서 바로 통하는 엑셀 파워포인트 워드 2016 + 원노트,"전미진 , 이화진 , 신면철 ",,2016-09-30,9788968484926
회사에서 바로 통하는 한글 2014,신면철 ,,2015-02-27,9788968481734
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2016-09-08,9788968484919
엑셀 2016 바이블,최준선 ,,2016-09-30,9788968484827
인포그래픽 프레젠테이션 : 보는 순간 착 달라붙는 인포그래픽 제작 비법 68,곽승원 ,,2014-01-02,9788968480751
호기심디테일의 포토샵 CS5,귀동걸(박귀염) ,,2012-01-05,9788979148893
"나에게, 포토샵: 생활 디자이너 7명이 들려주는 일상, 작업, 포토샵 이야기","김효정 , 김진숙 , 이지남 , 조영주 , 신동욱 , 최재연 , 조선진 ",,2013-03-25,9788968480096
쇼핑몰 디자인&제작북 with 포토샵+플래시+드림위버,임화연 ,,2011-03-21,9788979148213
회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2019-06-10,9791162241851
일러스트레이터 트레이닝 북: Illustrator Training Book,박혜진 삐딱대가리 ,,2009-01-28,9788979146240
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2016-06-30,9788968482823
회사에서 바로 통하는 실무 엑셀 매크로&VBA,김경자 ,,2020-08-20,9791162243428
내 일상을 꾸며주는 포토샵 CS6&CC,우보명(야우) ,,2013-12-26,9788968480744
혼자 공부하는 자바스크립트,윤인성 ,,2021-01-04,9791162243671
함수형 자바스크립트,루이스 아텐시오 ,이일웅 ,2018-02-01,9791162240427
맛있는 디자인 포토샵 CC,"윤이사라(포완카) , 박효근 ",,2015-07-28,9788968482083
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",,2015-06-28,9788968482076
회사에서 바로 통하는 실무 엑셀 함수&수식 - 모든 버전용,"김경자 , 송선영 ",,2021-06-11,9791162244395
불황을 이기는 색다른 쇼핑몰 COLOR & LAYOUT,"김정인 , 박혜진 , 라임기획 ",,2009-01-28,9788979146059
아이벤의 블링블링 포토샵,"김현태 , 아이벤 포토샵 카페 ",,2009-09-28,9788979146929
실전 쇼핑몰 포토샵 북 : 상품 사진 보정부터 상세 페이지 제작까지 쇼핑몰 디자인의 모든 것,임화연 ,,2014-05-22,9788968480997
회사에서 바로 통하는 엑셀+파워포인트 2013&한글 2014,"전미진 , 이화진 , 신면철 ",,2015-04-28,9788968481932
쇼핑몰 창업+운영+제작 북(인터넷 쇼핑몰 대표 강사와 함께하는),"정희전 , 착한사진연구소(남상욱 ",,2012-05-24,9788979149173
엑셀 매크로&VBA 바이블,최준선 ,,2019-09-10,9791162242209
회사에서 바로 통하는 엑셀 2016 FOR STARTERS,전미진 ,,2017-03-15,9788968483455
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,윤인성 ,2016-01-22,9788968482519
마담의크스와 함께 하는 손글씨&동꼬 by 포토샵,"마담의크스 카페 , 네모기획 ",,2006-07-12,8979144261
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
엑셀 바이블 : 실무에 최적화된 엑셀 사용서(모든 버전 사용 가능),최준선 ,,2019-05-08,9791162241813
필수 공식으로 하루에 하나씩 정복하는 엑셀 업무 공략집,최준선 ,,2020-06-01,9791162243169
맛있는 디자인 일러스트레이터 CS6,우보명 ,,2012-12-12,9788979149890
맛있는 디자인 드림위버 CC,"임화연 , 이해령 ",,2015-07-28,9788968482120
엑셀 피벗&파워 쿼리 바이블,최준선 ,,2017-11-05,9791162240083
맛있는 디자인 일러스트레이터 CC,빨간고래(박정아) ,,2014-10-16,9788968481284
맛있는 디자인 애프터 이펙트 CS6 & CC,이수정 ,,2014-11-21,9788968481420
포토샵 CS 디자인 스쿨(증보판),이문형 ,,2008-02-25,9788979145045
맛있는 디자인 프리미어 프로 CS6 & CC,"윤성우 , 김덕영 ",,2015-09-11,9788968482090
스프링 5 레시피(4판),"마틴 데니엄(Marten Deinum) , 다니엘 루비오(Daniel Rubio) , 조시 롱(Josh Long) ",이일웅 ,2018-09-01,9791162241035
맛있는 디자인 인디자인 CC,황지완 ,,2016-02-19,9788968482427
함수형 반응형 프로그래밍,"스티븐 블랙히스 , 앤서니 존스 ",오현석 ,2017-08-01,9788968488665
자바 최적화,"벤저민 J. 에번스 , 제임스 고프 , 크리스 뉴랜드 ",이일웅 ,2019-04-29,9791162241776
함수형 사고,닐 포드 ,김재완 ,2016-06-23,9788968482960
이벤트 기반 마이크로서비스 구축,애덤 벨메어 ,이일웅 ,2021-05-01,9791162244173
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드 ",이일웅 ,2021-11-01,9791162244869
데이터베이스 첫걸음,"미크 , 기무라 메이지 ",박주항 ,2016-10-10,9788968487316
웹어셈블리 인 액션,제러드 갤런트 ,이일웅 ,2020-10-05,9791162243473
"You Don’t Know JS : this와 객체 프로토타입, 비동기와 성능",카일 심슨 ,이일웅 ,2017-07-26,9788968488535
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,박준용 ,2015-10-26,9788968482311
모던 웹을 위한 HTML5+CSS3 바이블(3판),윤인성 ,,2019-05-01,9791162241585
맛있는 디자인 애프터 이펙트 CC 2019,이수정 ,,2019-05-23,9791162241783
편집 디자인 강의 with 인디자인(10년차 디자이너에게 1:1로 배우는) (개정판),황지완 ,,2019-10-07,9791162242216
브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어,브루스 테이트 ,임백준 ,2015-04-27,9788968481857
회사에서 바로 통하는 엑셀 비즈니스 데이터 분석,히바나 히로코(日花弘子) ,"최수진 , 최준선 ",2006-03-03,8979143869
맛있는 디자인 프리미어 프로 CC 2020,"김덕영 , 심수진 , 윤성우 ",,2020-02-28,9791162242872
인프라 엔지니어링 첫걸음,"데라오 에사쿠 , 나카무라 도모나리 , 하타노 아이 , 요코타 마사토시 , JPCERT CC ",윤인성 ,2017-08-01,9788968488672
코딩의 기술 : C와 C++ 게임 코드로 알아보는,오즈 모리하루 ,윤인성 ,2016-03-28,9788968482694
프로그래밍 스칼라,"딘 왐플러 , 알렉스 페인 ",오현석 ,2016-06-01,9788968482755
C++로 온라인 게임 서버 구축하기 : CGSF 파헤쳐 보기,박주항 ,,2014-08-25,9788968486760
코드의 재사용과 높은 수준의 테스팅을 원한다면 : 함수형 길들이기,조슈아 백필드 ,이일웅 ,2015-03-26,9788968487439
